strata,variable,n,miss,p.miss,mean,sd,median,p25,p75,min,max,skew,kurt
0,tidal_volume,861,0,0,412.6376306620209,84.67433468519083,400,350,450,160,989,1.0742226490640356,4.645144763308007
0,tv_pbw,861,0,0,6.47848588310114,1.1955295233592786,6.140350877192983,5.937503534228293,6.986301369863014,2.9315068493150687,15.688622754491025,2.117751221875775,11.059816434670472
0,peak_inspiratory_pressure_obs,861,0,0,30.851335656213706,8.398018243803142,30,26,36,8,80,0.5755297957296902,1.8402687036581362
0,plateau_pressure_obs,861,0,0,24.69012775842044,5.663463695493283,24,21,28,9,47,0.42999026039894045,0.7132314104853957
0,peep_set,861,0,0,10.27061556329849,3.669792873844557,10,8,12,5,30,0.5793985366884175,1.0687087329733826
0,static_dp,861,0,0,14.5472706155633,4.933457922865266,14,11,17,5,40,0.8777215689439999,1.663145675967802
0,static_compliance,861,0,0,32.03600105999438,14.463643209689586,29.076923076923077,22.5,38,8.75,158.2,2.1500957209058287,9.668245639778279
0,resp_rate_set,861,0,0,24.19628339140534,6.57990493559416,24,20,30,10,70,0.48691777709387757,1.7775106761075021
0,resp_rate_obs,861,0,0,26.62253193960511,11.209439693088603,26,21,30,10,300,16.897980811165688,411.467976724837
0,rass,861,10,1.1614401858304297,-2.9506462984723854,1.9207618416646832,-3,-5,-2,-5,3,0.8482955546659877,0.012153145480326236
1,tidal_volume,303,0,0,380.5940594059406,93.92724867716868,370,320,420,150,980,1.997037395321254,9.995331294471589
1,tv_pbw,303,0,0,6.095943985034897,1.0596638450641747,5.988023952095811,5.819394549573255,6.159114857744995,3,14.327485380116958,3.0757709586797835,19.058827874029305
1,peak_inspiratory_pressure_obs,303,0,0,32.71287128712871,6.9033104166438655,33,28,36,16,56,0.3092426778646417,0.5087196034380633
1,plateau_pressure_obs,303,0,0,26.448844884488448,5.588231809258202,26,23,29,9,55,0.6409284419071626,2.755204475779147
1,peep_set,303,0,0,12.168316831683168,3.2655211857400466,12,10,14,0,22,0.15577838736048497,0.8324560619851458
1,static_dp,303,0,0,14.927392739273927,5.375441654506791,14,11,18,6,45,1.4638820485487942,3.8550961460182633
1,static_compliance,303,0,0,28.568949955243053,11.695995057519971,26.666666666666668,21.38095238095238,33.484848484848484,5.172413793103448,80,1.1584299473466537,2.7250437515754085
1,resp_rate_set,303,0,0,26.082508250825082,5.907380414085399,25,22,30,11,48,0.016915763419346086,-0.2293727591576844
1,resp_rate_obs,303,0,0,28.191419141914192,21.796537917704054,28,22.5,30,12,393,15.618762859782807,262.0383017387081
1,rass,303,6,1.9801980198019802,-3.6195286195286194,1.6086828736144945,-4,-5,-3,-5,3,1.7519401141140156,3.051112457947997
