strata,variable,n,miss,p.miss,mean,sd,median,p25,p75,min,max,skew,kurt
Overall,hosp_los_days,1164,2,0.1718213058419244,21.682496055651175,31.07750882506921,13.409375,5.003645833333334,27.199131944444446,0.05416666666666667,549.2847222222222,7.196605435153298,93.97545075977396
Overall,vfds_day28,1164,7,0.6013745704467355,6.721694036300778,9.5477485833107,0,0,16,0,27,0.9126436239947198,-0.8999519057241819
0,hosp_los_days,861,1,0.11614401858304298,19.387880329457364,25.91298567154129,11.269097222222221,3.8397569444444444,24.687673611111116,0.05416666666666667,386.75625,4.9291117507325035,50.5618609241369
0,vfds_day28,861,6,0.6968641114982579,6.752046783625731,9.752525279057307,0,0,16,0,27,0.932933387386926,-0.8893118492432782
1,hosp_los_days,303,1,0.33003300330033003,28.216832229580575,41.846130206385176,19.097569444444446,10.359548611111112,31.705729166666668,0.8979166666666667,549.2847222222222,7.777801718102472,85.33689894718555
1,vfds_day28,303,1,0.33003300330033003,6.635761589403973,8.957621483443358,0,0,15.75,0,26,0.8291695797678446,-1.0080703335179717
