strata,variable,n,miss,p.miss,mean,sd,median,p25,p75,min,max,skew,kurt
Pre-COVID_0,resp_rate_obs,228,0,0,27.12719298245614,6.800269301323532,27,22,32,10,45,-0.005243510120273347,-0.556788090019329
Pre-COVID_0,rass,228,5,2.1929824561403506,-2.6771300448430493,2.0321219584915005,-3,-5,-1,-5,3,0.5809180909283373,-0.5173507336159049
Pre-COVID_1,tidal_volume,20,0,0,421.15,188.1811207600973,350,315,475,210,899,1.5782930557904282,2.2487931065594813
Pre-COVID_1,tv_pbw,20,0,0,6.6284100893395435,2.1018398442136283,5.967407907190315,5.779919785084566,6.989520958083834,4.029304029304031,12.777777777777777,1.8323841190138586,3.7994147341880242
Pre-COVID_1,peak_inspiratory_pressure_obs,20,0,0,36.1,4.216508907665328,35.5,33.75,38.5,30,46,0.6947795375492944,0.21191924152001904
Pre-COVID_1,plateau_pressure_obs,20,0,0,29.15,6.434078676939896,30,24.75,31.5,16,45,0.3049596241109704,1.0422881260790482
Pre-COVID_1,peep_set,20,0,0,10.85,4.331949846626137,10,9.5,14,0,18,-0.6851911972284952,0.7221364881625689
Pre-COVID_1,static_dp,20,0,0,18.95,6.62908265464425,18,14,21,11,35,0.9740613442408335,0.44129304589612217
Pre-COVID_1,static_compliance,20,0,0,24.225901400737964,11.149120343751008,22.939393939393938,16.875,33.71222222222222,7.714285714285714,49.166666666666664,0.48594702464641454,-0.3477715649782649
Pre-COVID_1,resp_rate_set,20,0,0,27.45,7.4302015273370685,30,22,35,11,35,-0.6413704292886445,-0.5467925527854738
Pre-COVID_1,resp_rate_obs,20,0,0,28.3,6.989465757763419,30,23.5,34.25,12,38,-0.7720548315186652,0.04712159701278072
Pre-COVID_1,rass,20,1,5,-4.315789473684211,1.002919714242558,-5,-5,-3.5,-5,-2,1.0925692439436059,-0.24412639582604215
