position_category,position_name,Freq,semi_prone
prone,Prone;Reverse Trendelenburg;Head left;Pillow support,12,FALSE
prone,Prone;Reverse Trendelenburg;Head right,156,FALSE
prone,Prone;Reverse Trendelenburg;Head right;Lying left side,16,FALSE
prone,Prone;Reverse Trendelenburg;Head right;Pillow support,15,FALSE
prone,Prone;Reverse Trendelenburg;Lying left side,68,FALSE
prone,Prone;Reverse Trendelenburg;Lying left side;Head left,11,FALSE
prone,Prone;Reverse Trendelenburg;Lying left side;Head right,32,FALSE
prone,Prone;Reverse Trendelenburg;Lying right side,75,FALSE
prone,Prone;Reverse Trendelenburg;Lying right side;Head left,27,FALSE
prone,Prone;Reverse Trendelenburg;Other (Comment),15,FALSE
prone,Prone;Reverse Trendelenburg;Pillow support,251,FALSE
prone,Prone;Reverse Trendelenburg;Pillow support;Head left,37,FALSE
prone,Prone;Reverse Trendelenburg;Pillow support;Head left;Lying right side,13,FALSE
prone,Prone;Reverse Trendelenburg;Pillow support;Head right,34,FALSE
prone,Prone;Reverse Trendelenburg;Pillow support;Head right;Lying left side,12,FALSE
prone,Prone;Trendelenburg,19,FALSE
prone,Prone;Turns self,101,FALSE
prone,Prone;Unable to reposition,25,FALSE
prone,proned,30,FALSE
prone,Proned,34,FALSE
prone,PRONED,20,FALSE
prone,pt proned,30,FALSE
prone,Pt proned,21,FALSE
prone,Reverse Trendelenburg;Pillow support;Prone,12,FALSE
prone,Reverse Trendelenburg;Prone,102,FALSE
prone,Reverse Trendelenburg;Prone;Head left,11,FALSE
prone,Reverse Trendelenburg;Prone;Head right,11,FALSE
prone,Reverse Trendelenburg;Prone;Other (Comment),20,FALSE
prone,Reverse Trendelenburg;Prone;Pillow support,43,FALSE
prone,Reverse Trendelenburg;Prone;Pillow support;Head left,11,FALSE
prone,Reverse Trendelenburg;Prone;Pillow support;Head right,14,FALSE
prone,Turns self;Prone,203,FALSE
prone,Turns self;Prone;Pillow support,14,FALSE
prone,Unable to reposition;Prone,19,FALSE
